Index,Problem,Percentage,Difficulty,Status
116,342. Power of Four,49.2%,Easy,~visited
117,344. Reverse String,79.6%,Easy,~visited
118,346. Moving Average from Data Stream,79.7%,Easy,~visited
119,348. Design Tic-Tac-Toe,58.5%,Med.,~visited
120,351. Android Unlock Patterns,53.2%,Med.,~visited
121,352. Data Stream as Disjoint Intervals,60.3%,Hard,~visited
122,353. Design Snake Game,39.1%,Med.,~visited
123,356. Line Reflection,35.9%,Med.,~visited
124,357. Count Numbers with Unique Digits,54.1%,Med.,~visited
125,358. Rearrange String k Distance Apart,39.3%,Hard,~visited
126,359. Logger Rate Limiter,76.4%,Easy,~visited
127,360. Sort Transformed Array,56.9%,Med.,~visited
128,361. Bomb Enemy,52.0%,Med.,~visited
129,363. Max Sum of Rectangle No Larger Than K,44.5%,Hard,~visited
130,366. Find Leaves of Binary Tree,81.0%,Med.,~visited
131,368. Largest Divisible Subset,46.0%,Med.,~visited
132,369. Plus One Linked List,61.1%,Med.,~visited
133,370. Range Addition,72.2%,Med.,~visited
134,374. Guess Number Higher or Lower,55.4%,Easy,~visited
135,377. Combination Sum IV,54.6%,Med.,~visited
136,378. Kth Smallest Element in a Sorted Matrix,63.3%,Med.,~visited
137,382. Linked List Random Node,63.8%,Med.,~visited
138,384. Shuffle an Array,58.9%,Med.,~visited
139,387. First Unique Character in a String,63.4%,Easy,~visited
140,389. Find the Difference,59.6%,Easy,~visited
141,391. Perfect Rectangle,34.9%,Hard,~visited
142,393. UTF-8 Validation,45.4%,Med.,~visited
143,397. Integer Replacement,36.4%,Med.,~visited
144,399. Evaluate Division,62.9%,Med.,~visited
145,401. Binary Watch,56.1%,Easy,~visited
146,402. Remove K Digits,34.6%,Med.,~visited
147,403. Frog Jump,46.4%,Hard,~visited
148,404. Sum of Left Leaves,61.4%,Easy,~visited
149,407. Trapping Rain Water II,58.7%,Hard,~visited
150,408. Valid Word Abbreviation,36.7%,Easy,~visited
151,411. Minimum Unique Word Abbreviation,40.1%,Hard,~visited
152,415. Add Strings,51.8%,Easy,~visited
153,416. Partition Equal Subset Sum,47.3%,Med.,~visited
154,418. Sentence Screen Fitting,36.3%,Med.,~visited
155,419. Battleships in a Board,76.3%,Med.,~visited
156,422. Valid Word Square,41.9%,Easy,~visited
157,425. Word Squares,53.8%,Hard,~visited
158,436. Find Right Interval,53.5%,Med.,~visited
159,437. Path Sum III,46.0%,Med.,~visited
160,444. Sequence Reconstruction,29.2%,Med.,~visited
161,448. Find All Numbers Disappeared in an Array,62.1%,Easy,~visited
162,452. Minimum Number of Arrows to Burst Balloons,60.1%,Med.,~visited
163,454. 4Sum II,57.5%,Med.,~visited
164,465. Optimal Account Balancing,49.7%,Hard,~visited
165,469. Convex Polygon,39.8%,Med.,~visited
166,471. Encode String with Shortest Length,50.5%,Hard,~visited
167,474. Ones and Zeroes,48.5%,Med.,~visited
168,480. Sliding Window Median,38.6%,Hard,~visited
169,481. Magical String,52.1%,Med.,~visited
170,483. Smallest Good Base,42.9%,Hard,~visited
171,484. Find Permutation,66.9%,Med.,~visited
172,487. Max Consecutive Ones II,51.4%,Med.,~visited
173,490. The Maze,59.2%,Med.,~visited
174,494. Target Sum,50.4%,Med.,~visited
175,495. Teemo Attacking,56.9%,Easy,~visited
176,496. Next Greater Element I,74.1%,Easy,~visited
177,501. Find Mode in Binary Search Tree,57.3%,Easy,~visited
178,502. IPO,53.0%,Hard,~visited
179,505. The Maze II,54.0%,Med.,~visited
180,2031. Count Subarrays With More Ones Than Zeros,51.2%,Med.,~visited
181,1059. All Paths from Source Lead to Destination,37.1%,Med.,~visited
182,514. Freedom Trail,58.8%,Hard,~visited
183,515. Find Largest Value in Each Tree Row,66.3%,Med.,~visited
184,520. Detect Capital,56.1%,Easy,~visited
185,521. Longest Uncommon Subsequence I,61.2%,Easy,~visited
186,524. Longest Word in Dictionary through Deleting,51.6%,Med.,~visited
187,527. Word Abbreviation,61.7%,Hard,~visited
188,529. Minesweeper,67.8%,Med.,~visited
189,530. Minimum Absolute Difference in BST,58.7%,Easy,~visited
190,531. Lonely Pixel I,62.5%,Med.,~visited
191,533. Lonely Pixel II,48.6%,Med.,~visited
192,535. Encode and Decode TinyURL,86.6%,Med.,~visited
193,541. Reverse String II,51.9%,Easy,~visited
194,544. Output Contest Matches,77.4%,Med.,~visited
195,545. Boundary of Binary Tree,46.9%,Med.,~visited
196,549. Binary Tree Longest Consecutive Sequence II,49.6%,Med.,~visited
197,1730. Shortest Path to Get Food,56.5%,Med.,~visited
198,551. Student Attendance Record I,49.5%,Easy,~visited
199,552. Student Attendance Record II,55.7%,Hard,~visited
200,554. Brick Wall,55.8%,Med.,~visited
201,556. Next Greater Element III,34.4%,Med.,~visited
202,557. Reverse Words in a String III,83.6%,Easy,~visited
203,562. Longest Line of Consecutive One in Matrix,50.5%,Med.,~visited
204,563. Binary Tree Tilt,63.6%,Easy,~visited
205,564. Find the Closest Palindrome,31.6%,Hard,~visited
