Index,Problem,Percentage,Difficulty,Status
78,528. Random Pick with Weight,48.3%,Med.,~visited
79,2401. Longest Nice Subarray,64.8%,Med.,~visited
80,3303. Find the Occurrence of First Almost Equal Substring,13.4%,Hard,~visited
81,5. Longest Palindromic Substring,35.4%,Med.,~visited
82,23. Merge k Sorted Lists,56.1%,Hard,~visited
83,1004. Max Consecutive Ones III,65.4%,Med.,~visited
84,28. Find the Index of the First Occurrence in a String,44.6%,Easy,~visited
85,31. Next Permutation,42.5%,Med.,~visited
86,35. Search Insert Position,48.5%,Easy,~visited
87,37. Sudoku Solver,63.7%,Hard,~visited
88,38. Count and Say,58.1%,Med.,~visited
89,39. Combination Sum,74.1%,Med.,~visited
90,41. First Missing Positive,40.8%,Hard,~visited
91,48. Rotate Image,77.4%,Med.,~visited
92,"50. Pow(x, n)",36.6%,Med.,~visited
93,1101. The Earliest Moment When Everyone Become Friends,65.6%,Med.,~visited
94,62. Unique Paths,65.5%,Med.,~visited
95,584. Find Customer Referee,71.7%,Easy,~visited
96,75. Sort Colors,66.6%,Med.,~visited
97,2873. Maximum Value of an Ordered Triplet I,58.3%,Easy,~visited
98,94. Binary Tree Inorder Traversal,78.2%,Easy,~visited
99,100. Same Tree,64.6%,Easy,~visited
100,104. Maximum Depth of Binary Tree,76.9%,Easy,~visited
101,123. Best Time to Buy and Sell Stock III,50.5%,Hard,~visited
102,133. Clone Graph,61.5%,Med.,~visited
103,150. Evaluate Reverse Polish Notation,54.3%,Med.,~visited
104,2573. Find the String with LCP,31.4%,Hard,~visited
105,175. Combine Two Tables,77.7%,Easy,~visited
106,1110. Delete Nodes And Return Forest,72.4%,Med.,~visited
107,189. Rotate Array,42.6%,Med.,~visited
108,203. Remove Linked List Elements,51.4%,Easy,~visited
109,205. Isomorphic Strings,46.5%,Easy,~visited
110,206. Reverse Linked List,78.8%,Easy,~visited
111,207. Course Schedule,48.7%,Med.,~visited
112,215. Kth Largest Element in an Array,67.7%,Med.,~visited
113,225. Implement Stack using Queues,66.7%,Easy,~visited
114,2665. Counter II,81.0%,Easy,~visited
115,231. Power of Two,48.2%,Easy,~visited
116,234. Palindrome Linked List,55.3%,Easy,~visited
117,238. Product of Array Except Self,67.5%,Med.,~visited
118,704. Binary Search,59.3%,Easy,~visited
119,1944. Number of Visible People in a Queue,70.7%,Hard,~visited
120,283. Move Zeroes,62.6%,Easy,~visited
121,1207. Unique Number of Occurrences,78.1%,Easy,~visited
122,2780. Minimum Index of a Valid Split,75.9%,Med.,~visited
